Low-PI-1,,,,,Low-PI-2,,,,,Low-PI-3,,,,,Low-PI-mean,,,,
gamma*(%),G*(Pa),G'(Pa),"G""(Pa)",LT,gamma*(%),G*(Pa),G'(Pa),"G""(Pa)",LT,gamma*(%),G*(Pa),G'(Pa),"G""(Pa)",LT,gamma*(%),G*(Pa),G'(Pa),"G""(Pa)",LT
0.0100603,102.60,93.73,41.75,0.445428358,0.0135906,39.6,32.78,22.22,0.677852349,5.19E-03,95.51,61.52,73.06,1.187581274,0.010,79.237,62.677,45.677,0.770
0.0151026,106.40,97.67,42.25,0.432579093,0.0167891,48.09,42.45,22.59,0.532155477,0.0153122,117,104.3,53.11,0.509204219,0.016,90.497,81.473,39.317,0.491
0.0256577,109.10,100.60,42.36,0.421073559,0.0251921,54.88,45.14,31.22,0.691626052,0.0258281,129,118.9,50.09,0.421278385,0.026,97.660,88.213,41.223,0.511
0.0399274,112.30,104.00,42.28,0.406538462,0.0387267,61.32,53.95,29.15,0.540315107,0.0405265,131.6,120.5,52.8,0.438174274,0.040,101.740,92.817,41.410,0.462
0.062863,114.90,106.90,42.14,0.394200187,0.0628858,63.9,58.89,24.81,0.421293938,0.0648209,138.4,129.6,48.66,0.375462963,0.064,105.733,98.463,38.537,0.397
0.0998761,117.80,109.90,42.40,0.385805278,0.10098,66.43,61.84,24.27,0.392464424,0.0981933,143.7,135.4,48.07,0.355022157,0.100,109.310,102.380,38.247,0.378
0.158147,120.10,112.50,41.89,0.372355556,0.156962,68.22,64.54,22.11,0.342578246,0.159281,150.8,143,47.77,0.334055944,0.158,113.040,106.680,37.257,0.350
0.250973,121.70,114.30,41.68,0.364654418,0.24977,69.98,66.73,21.07,0.315750037,0.250771,155.4,148.8,44.87,0.301545699,0.251,115.693,109.943,35.873,0.327
0.397717,122.60,115.20,41.81,0.362934028,0.397268,71.83,68.85,20.47,0.297312999,0.397869,161.5,155.6,43.29,0.278213368,0.398,118.643,113.217,35.190,0.313
0.630531,122.30,114.80,42.18,0.367421603,0.629701,73.43,70.53,20.46,0.290089324,0.629994,162,156.5,41.59,0.265750799,0.630,119.243,113.943,34.743,0.308
0.999802,120.80,113.00,42.59,0.376902655,0.999536,73.95,70.96,20.79,0.292981962,0.999318,158.6,152.8,42.38,0.277356021,1.000,117.783,112.253,35.253,0.316
1.58295,119.30,111.10,43.46,0.391179118,1.58361,71.23,67.74,22.02,0.32506643,1.58408,149.3,142.4,44.94,0.315589888,1.584,113.277,107.080,36.807,0.344
2.51134,116.50,107.70,44.33,0.411606314,2.50852,67.3,62.46,25.05,0.401056676,2.50995,136.5,127,49.98,0.393543307,2.510,106.767,99.053,39.787,0.402
3.97898,112.70,103.10,45.62,0.442483026,3.9798,62.07,56.17,26.42,0.470357842,3.98349,117.8,103.9,55.52,0.534359962,3.981,97.523,87.723,42.520,0.482
6.30603,107.20,96.29,47.07,0.488835808,6.30756,56.34,49.52,26.86,0.542407108,6.3167,97.31,79.89,55.56,0.695456252,6.310,86.950,75.233,43.163,0.576
9.99745,99.90,87.41,48.37,0.55336918,9.98898,51.12,43.13,27.45,0.636447948,9.99455,79.51,60.35,51.77,0.857829329,9.994,76.843,63.630,42.530,0.683
15.8494,90.95,76.39,49.37,0.646288781,15.8479,44.21,35.1,26.87,0.765527066,15.8484,64.53,45.39,45.87,1.010575017,15.849,66.563,52.293,40.703,0.807
25.1161,80.69,64.25,48.81,0.759688716,25.1358,37.36,27.31,25.48,0.932991578,25.1207,51.71,34.3,38.69,1.127988338,25.124,56.587,41.953,37.660,0.940
39.8046,70.13,52.64,46.33,0.880129179,39.7681,31.3,21.29,22.94,1.077501174,39.8671,41.56,26.43,32.07,1.213393871,39.813,47.663,33.453,33.780,1.057
63.0363,60.56,42.81,42.84,1.000700771,63.0136,26.12,16.93,19.89,1.174837566,63.2009,33.5,20.82,26.25,1.260806916,63.084,40.060,26.853,29.660,1.145
99.827,52.89,35.41,39.30,1.109855973,99.9581,21.26,13.39,16.51,1.233009709,100.164,27.08,16.63,21.37,1.28502706,99.983,33.743,21.810,25.727,1.209
158.149,47.23,29.72,36.70,1.234858681,158.156,17.49,10.72,13.82,1.289179104,158.664,22.18,12.35,18.42,1.491497976,158.323,28.967,17.597,22.980,1.339
250.216,41.75,24.62,33.71,1.369212023,249.947,14.39,8.213,11.82,1.439181785,277.499,7.379,3.218,6.64,2.063393412,259.221,21.173,12.017,17.390,1.624
397.015,36.58,20.33,30.42,1.496310871,395.57,12.15,6.212,10.44,1.680618158,399.615,2.663,1.443,2.238,1.550935551,397.400,17.131,9.328,14.366,1.576
627.955,33.10,17.02,28.39,1.668037603,630.326,9.463,4.197,8.482,2.020967358,631.444,1.784,0.7931,1.598,2.014878326,629.908,14.782,7.337,12.823,1.901
1000.23,23.77,10.25,21.45,2.092682927,998.877,6.735,2.575,6.223,2.416699029,999.763,1.446,0.4931,1.359,2.756033259,999.623,10.650,4.439,9.677,2.422
,,,,,,,,,,,,,,,,,,,
High-PI-1,,,,,High-PI-2,,,,,High-PI-3,,,,,HIgh-PI-mean,,,,
gamma*(%),G*(Pa),G'(Pa),"G""(Pa)",LT,gamma*(%),G*(Pa),G'(Pa),"G""(Pa)",LT,gamma*(%),G*(Pa),G'(Pa),"G""(Pa)",LT,gamma*(%),G*(Pa),G'(Pa),"G""(Pa)",LT
0.0102899,32.14,30.36,10.53,0.346837945,9.93E-03,136.5,131.1,38.15,0.290999237,3.72E-03,,,,,0.0080,84.3200,80.7300,24.3400,0.3189
0.0162295,32.73,30.87,10.86,0.351797862,0.0159708,136.8,131.3,38.57,0.29375476,0.018391,87.17,70.36,51.45,0.731239341,0.0169,85.5667,77.5100,33.6267,0.4589
0.0250651,33.11,31.43,10.42,0.331530385,0.0244523,138.2,133.1,37.12,0.278888054,0.0272897,78.5,64.97,44.06,0.67815915,0.0256,83.2700,76.5000,30.5333,0.4295
0.0394143,33.34,31.63,10.53,0.332911793,0.0398192,140.3,135.2,37.65,0.278476331,0.0378852,86.49,74.4,44.11,0.592876344,0.0390,86.7100,80.4100,30.7633,0.4014
0.0629963,33.58,31.83,10.72,0.336789193,0.0629589,141.8,137.1,36.36,0.265207877,0.0610998,87.53,74.76,45.52,0.608881755,0.0624,87.6367,81.2300,30.8667,0.4036
0.0996238,33.83,32.11,10.67,0.332295235,0.0995938,141.7,137.3,35.05,0.255280408,0.100098,85.05,70.38,47.75,0.67845979,0.0998,86.8600,79.9300,31.1567,0.4220
0.157365,34.04,32.33,10.66,0.329724714,0.158486,142.5,137.9,35.81,0.259680928,0.157413,81.48,71.12,39.76,0.559055118,0.1578,86.0067,80.4500,28.7433,0.3828
0.25077,34.11,32.41,10.63,0.32798519,0.250874,141.5,136.6,37.11,0.271669107,0.249477,83.34,72.6,40.93,0.563774105,0.2504,86.3167,80.5367,29.5567,0.3878
0.399519,34.13,32.44,10.62,0.327373613,0.398688,139.4,134.5,36.58,0.27197026,0.398684,83.79,73.88,39.54,0.535192204,0.3990,85.7733,80.2733,28.9133,0.3782
0.631239,34.08,32.39,10.6,0.3272615,0.63051,134.4,129.1,37.18,0.287993803,0.635318,84.95,75.52,38.89,0.514962924,0.6324,84.4767,79.0033,28.8900,0.3767
1.00119,33.97,32.28,10.57,0.327447336,0.999244,127.5,121.5,38.58,0.317530864,1.00185,70.39,63.24,30.93,0.489089184,1.0008,77.2867,72.3400,26.6933,0.3780
1.58622,34.44,32.69,10.82,0.33098807,1.58386,120.4,113.5,40.24,0.354537445,1.5798,69.16,62.7,29.21,0.465869219,1.5833,74.6667,69.6300,26.7567,0.3838
2.51014,34.25,32.45,10.97,0.338058552,2.50882,112.3,104.8,40.46,0.386068702,2.50543,66.29,60.51,27.08,0.447529334,2.5081,70.9467,65.9200,26.1700,0.3906
3.98076,33.92,32.02,11.18,0.349156777,3.9829,103,94.06,42.04,0.446948756,3.98454,61.93,56.68,24.96,0.440366972,3.9827,66.2833,60.9200,26.0600,0.4122
6.31136,33.26,31.27,11.34,0.362647905,6.31183,93.09,82.89,42.37,0.511159368,6.32542,56.04,50.13,25.05,0.499700778,6.3162,60.7967,54.7633,26.2533,0.4578
10.0055,32.34,30.22,11.52,0.3812045,10.0098,82.47,71.12,41.76,0.587176603,10.0069,46.06,38.55,25.21,0.653955901,10.0074,53.6233,46.6300,26.1633,0.5408
15.856,31.05,28.74,11.73,0.408141962,15.8507,71.46,59.11,40.16,0.679411267,15.8456,38.43,30.8,22.98,0.746103896,15.8508,46.9800,39.5500,24.9567,0.6112
25.1278,29.11,26.47,12.13,0.458254628,25.1279,60.49,47.39,37.6,0.793416333,25.093,32.19,25.02,20.25,0.809352518,25.1162,40.5967,32.9600,23.3267,0.6870
39.8176,26.92,24,12.19,0.507916667,39.8003,50.53,37.17,34.23,0.920903955,39.68,27.62,20.61,18.38,0.891800097,39.7660,35.0233,27.2600,21.6000,0.7735
63.1032,24.61,21.51,11.96,0.556020456,63.0224,41.61,28.62,30.21,1.055555556,62.9682,23.46,16.67,16.51,0.99040192,63.0313,29.8933,22.2667,19.5600,0.8673
99.9895,22.21,18.99,11.51,0.606108478,99.8711,33.47,21.51,25.64,1.192003719,100.104,18.89,12.78,13.91,1.088419405,99.9882,24.8567,17.7600,17.0200,0.9622
158.436,20.01,16.77,10.91,0.650566488,158.048,26.81,16.3,21.29,1.306134969,158.303,14.91,9.785,11.25,1.149718958,158.2623,20.5767,14.2850,14.4833,1.0355
250.953,18.23,14.94,10.45,0.699464525,249.926,21.01,12.1,17.18,1.419834711,251.088,11.85,7.816,8.902,1.138945752,250.6557,17.0300,11.6187,12.1773,1.0861
397.821,16.56,12.88,10.4,0.807453416,395.984,16.44,9.132,13.66,1.495838809,397.571,9.134,5.892,6.979,1.184487441,397.1253,14.0447,9.3013,10.3463,1.1626
631.131,14.24,9.579,10.53,1.099279674,627.982,12.88,6.943,10.85,1.562725047,630.57,7.338,4.832,5.523,1.143004967,629.8943,11.4860,7.1180,8.9677,1.2683
1002.33,11.5,6.113,9.743,1.593816457,994.242,10.09,4.882,8.833,1.809299467,997.514,6.108,3.819,4.767,1.248232522,998.0287,9.2327,4.9380,7.7810,1.5504
