,70/3,,,70/6,,,70/9,,,70/12,,,70/18,,,70/24,,
Low-ε G',578.69,23.84,272,188.06,17.79,272,87.14,3.88,272,40.54,0.99,272,41.75,4.02,272,24.47,1.94,272
High-ε G',247.56,25.94,130,90.85,12.74,130,38.22,1.6,130,18.97,0.6,130,14.15,2.07,130,7.69,1.22,130
"Low-ε G""",82.69,9.9,272,59.97,18.98,272,42.15,2.98,272,20.47,0.66,272,10.63,0.86,272,6.35,0.61,272
"High-ε G""",189.7,5.8,130,56.94,0.7,130,32.53,0.7,130,16.35,0.17,130,14.25,0.99,130,7.44,0.61,130
