Low-PI-1,,,,,Low-PI-2,,,,,Low-PI-3,,,,,Low-PI-mean,,,,
gamma*(%),G*(Pa),G'(Pa),"G""(Pa)",LT,gamma*(%),G*(Pa),G'(Pa),"G""(Pa)",LT,gamma*(%),G*(Pa),G'(Pa),"G""(Pa)",LT,gamma*(%),G*(Pa),G'(Pa),"G""(Pa)",LT
0.0102039,78.92,76.01,21.21,0.279042231,0.0107442,14.8,14.79,0.587,0.039688979,9.78E-03,20.15,19.84,3.487,0.175756048,0.0102,37.9567,36.8800,8.4280,0.1648
0.015766,80.52,77.43,22.12,0.285677386,0.0155655,13.62,13.44,2.153,0.160193452,0.0166928,22.69,22.57,2.317,0.102658396,0.0160,38.9433,37.8133,8.8633,0.1828
0.0266841,81.61,79.09,20.11,0.25426729,0.0257075,13.55,13.17,3.202,0.243128322,0.0257392,23.56,22,8.43,0.383181818,0.0260,39.5733,38.0867,10.5807,0.2935
0.0398429,82.71,79.76,21.9,0.274573721,0.0386074,13.55,13.07,3.579,0.273833206,0.0400118,23.47,22.44,6.852,0.305347594,0.0395,39.9100,38.4233,10.7770,0.2846
0.0633606,83.68,80.83,21.65,0.267846097,0.0633565,13.67,13.16,3.707,0.28168693,0.0625787,23.61,22.65,6.666,0.294304636,0.0631,40.3200,38.8800,10.6743,0.2813
0.0992691,84.56,81.64,22.03,0.269843214,0.101118,13.65,13.13,3.734,0.2843869,0.0991112,23.93,23.15,6.046,0.261166307,0.0998,40.7133,39.3067,10.6033,0.2718
0.158066,85.37,82.46,22.09,0.267887461,0.159326,13.67,13.14,3.77,0.286910198,0.15952,24.24,23.49,6.009,0.255810983,0.1590,41.0933,39.6967,10.6230,0.2702
0.251618,86.09,83.14,22.34,0.268703392,0.251973,13.6,13.07,3.741,0.286228003,0.25146,24.31,23.65,5.622,0.237716702,0.2517,41.3333,39.9533,10.5677,0.2642
0.399183,87.38,84.28,23.06,0.27361177,0.399662,13.46,12.95,3.693,0.285173745,0.399193,24.49,23.89,5.402,0.226119715,0.3993,41.7767,40.3733,10.7183,0.2616
0.630163,88.43,84.99,24.43,0.287445582,0.632181,13.23,12.73,3.6,0.282796544,0.631248,24.99,24.36,5.562,0.228325123,0.6312,42.2167,40.6933,11.1973,0.2662
0.999301,88.66,84.9,25.54,0.300824499,1.00145,13.12,12.62,3.562,0.282250396,1.00059,25.24,24.57,5.788,0.235571836,1.0004,42.3400,40.6967,11.6300,0.2729
1.25894,87.5,83.65,25.69,0.307112971,1.58519,13.15,12.65,3.577,0.282766798,1.58605,24.52,23.81,5.856,0.245947081,1.4767,41.7233,40.0367,11.7077,0.2786
2.5131,83.62,79.19,26.85,0.339057962,2.51138,13.12,12.63,3.576,0.283135392,2.51311,23.85,23.1,5.963,0.258138528,2.5125,40.1967,38.3067,12.1297,0.2934
3.98636,79.08,73.66,28.77,0.390578333,3.97908,13.14,12.64,3.605,0.285205696,3.98328,23.03,22.24,5.988,0.269244604,3.9829,38.4167,36.1800,12.7877,0.3150
6.31227,72,64.84,31.3,0.482726712,6.30924,13.12,12.6,3.637,0.288650794,6.31156,22.26,21.41,6.082,0.284072863,6.3110,35.7933,32.9500,13.6730,0.3518
10.0018,63.34,54.42,32.4,0.59536935,10.0029,13.06,12.53,3.696,0.294972067,10.0036,21.33,20.41,6.219,0.304703577,10.0028,32.5767,29.1200,14.1050,0.3983
15.8357,54.44,44.54,31.3,0.702739111,15.8476,12.94,12.37,3.801,0.307275667,15.8609,20.24,19.2,6.401,0.333385417,15.8481,29.2067,25.3700,13.8340,0.4478
25.0739,47.25,37.03,29.35,0.792600594,25.128,12.67,12.03,3.961,0.329260183,25.1398,18.9,17.71,6.61,0.37323546,25.1139,26.2733,22.2567,13.3070,0.4984
39.7185,42.39,31.48,28.38,0.901524778,39.8368,12.18,11.44,4.189,0.366171329,39.8483,17.34,15.95,6.804,0.426583072,39.8012,23.9700,19.6233,13.1243,0.5648
62.9758,36.63,24.89,26.87,1.07955002,63.1438,11.41,10.51,4.456,0.423977165,63.1576,15.62,14.02,6.881,0.490798859,63.0924,21.2200,16.4733,12.7357,0.6648
99.813,30.3,17.81,24.51,1.37619315,100.076,10.41,9.3,4.672,0.502365591,100.055,13.9,12.12,6.821,0.562788779,99.9813,18.2033,13.0767,12.0010,0.8138
157.732,25.01,12.68,21.55,1.699526814,158.568,9.308,8.016,4.732,0.590319361,158.51,12.24,10.35,6.53,0.630917874,158.2700,15.5193,10.3487,10.9373,0.9736
251.723,20.23,9.023,18.1,2.005984706,251.197,8.287,6.896,4.595,0.666328306,251.212,10.75,8.867,6.072,0.684786286,251.3773,13.0890,8.2620,9.5890,1.1190
399.053,15.04,5.491,14,2.549626662,398.037,7.481,6.086,4.35,0.714755176,397.173,9.532,7.643,5.696,0.745257098,398.0877,10.6843,6.4067,8.0153,1.3365
