70/3,,,,,,70/6,,,,,,70/9,,,,,,70/12,,,,,,70/18,,,,,,70/24,,,,,
texp(s),gamma*(%),G*(Pa),G'(Pa),"G""(Pa)",Loss tangent,texp(s),gamma*(%),GG,G'(Pa),"G""(Pa)",Loss tangent,texp(s),gamma*(%),G*(Pa),G'(Pa),"G""(Pa)",Loss tangent,texp(s),gamma*(%),G*(Pa),G'(Pa),"G""(Pa)",Loss tangent,texp(s),gamma*(%),G*(Pa),G'(Pa),"G""(Pa)",Loss tangent,texp(s),gamma*(%),G*(Pa),G'(Pa),"G""(Pa)",Loss tangent
38.1,0.497557,549.4,544.1,76.52,0.140635913,38.1,0.498589,173.1,164.6,53.56,0.325394897,38.1,0.499517,94.09,84.71,40.95,0.483414001,38.1,0.499075,44.59,39.95,19.82,0.49612015,38.1,0.498703,36.5,35.24,9.529,0.270402951,38.1,0.499618,22.36,21.58,5.851,0.271130677
40.1,0.498159,549.5,544.7,71.89,0.131980907,40.1,0.499022,173.4,164.9,53.7,0.32565191,40.1,0.499744,94.12,84.71,41.03,0.484358399,40.1,0.500203,44.58,39.93,19.82,0.496368645,40.1,0.499188,36.58,35.32,9.52,0.269535674,40.1,0.49918,22.42,21.65,5.852,0.270300231
42.1,0.498584,549.6,544.4,74.99,0.137747979,42.1,0.500394,173.7,165.2,53.67,0.324878935,42.1,0.499784,94.2,84.79,41.05,0.48413728,42.1,0.499674,44.58,39.96,19.77,0.494744745,42.1,0.499306,36.66,35.4,9.546,0.269661017,42.1,0.498365,22.48,21.71,5.855,0.269691386
44.1,0.501547,550.1,545.2,73.14,0.134152605,44.1,0.500479,173.9,165.4,53.76,0.32503023,44.1,0.50021,94.27,84.86,41.05,0.483737921,44.1,0.49823,44.59,39.95,19.79,0.495369212,44.1,0.499031,36.75,35.48,9.568,0.269673055,44.1,0.497722,22.54,21.77,5.849,0.268672485
46.1,0.501243,550.2,545.4,72.88,0.133626696,46.1,0.499922,174.2,165.7,53.59,0.323415812,46.1,0.500213,94.37,84.99,41,0.482409695,46.1,0.49846,44.58,39.94,19.81,0.495993991,46.1,0.498668,36.84,35.57,9.603,0.269974698,46.1,0.497691,22.61,21.84,5.851,0.26790293
48.1,0.49854,550.3,545.3,73.88,0.135485054,48.1,0.499892,174.3,165.8,53.76,0.32424608,48.1,0.499496,94.43,85.05,41.03,0.482422105,48.1,0.499286,44.6,39.96,19.79,0.495245245,48.1,0.498922,36.93,35.67,9.573,0.268376787,48.1,0.498424,22.66,21.8,6.204,0.284587156
50.1,0.498082,550.8,546.3,70.95,0.129873696,50.1,0.499931,174.5,166,53.65,0.323192771,50.1,0.499218,94.52,85.16,41,0.481446689,50.1,0.49955,44.64,40.02,19.78,0.494252874,50.1,0.498936,37.01,35.74,9.619,0.26913822,50.1,0.498728,22.68,21.81,6.241,0.286153141
52.1,0.501097,550.9,545.7,75.1,0.137621404,52.1,0.498771,174.8,166.3,53.7,0.322910403,52.1,0.500029,94.57,85.19,41.05,0.481864069,52.1,0.499651,44.65,40.02,19.79,0.494502749,52.1,0.498833,37.1,35.84,9.607,0.268052455,52.1,0.498485,22.72,21.92,5.955,0.271669708
54.1,0.501282,551.5,546.9,70.99,0.129804352,54.1,0.497428,175.2,166.7,53.69,0.322075585,54.1,0.500506,94.63,85.28,41.02,0.481003752,54.1,0.499023,44.65,40.04,19.76,0.493506494,54.1,0.499082,37.18,35.91,9.634,0.268281816,54.1,0.499014,22.8,22.02,5.882,0.267120799
56.1,0.500544,551.5,546.7,72.96,0.133455277,56.1,0.497579,175.5,167.1,53.77,0.321783363,56.1,0.500312,94.7,85.36,41.01,0.480435801,56.1,0.498622,44.64,40.02,19.77,0.494002999,56.1,0.499958,37.25,35.97,9.668,0.268779539,56.1,0.498933,22.87,22.1,5.879,0.2660181
58.1,0.499195,551.6,546.8,72.67,0.132900512,58.1,0.49872,175.7,167.3,53.75,0.321279139,58.1,0.499643,94.76,85.41,41.03,0.480388713,58.1,0.49878,44.63,40.01,19.78,0.494376406,58.1,0.501415,37.31,36.04,9.644,0.267591565,58.1,0.498658,22.93,22.17,5.873,0.264907533
