70/3,,,,,,,,,70/6,,,,,,,,,70/9,,,,,,,,,70/12,,,,,,,,,70/18,,,,,,,,,70/24,,,,,,,,
gamma*(%),Initial G',"Initial G""",gamma*(%),Sandwich G',"Sandwich G""",gamma*(%),Swelled G',"Swelled G""",gamma*(%),Initial G',"Initial G""",gamma*(%),Sandwich G',"Sandwich G""",gamma*(%),Swelled G',"Swelled G""",gamma*(%),Initial G',"Initial G""",gamma*(%),Sandwich G',"Sandwich G""",gamma*(%),Swelled G',"Swelled G""",gamma*(%),Initial G',"Initial G""",gamma*(%),Sandwich G',"Sandwich G""",gamma*(%),Swelled G',"Swelled G""",gamma*(%),Initial G',"Initial G""",gamma*(%),Sandwich G',"Sandwich G""",gamma*(%),Swelled G',"Swelled G""",gamma*(%),Initial G',"Initial G""",gamma*(%),Sandwich G',"Sandwich G""",gamma*(%),Swelled G',"Swelled G"""
0.128033,997.1,164.9,0.0123466,233.5,28.71,0.125939,28.1,9.015,0.126111,1081,234.4,0.126377,122.9,25.52,0.126009,21.73,6.386,0.126104,503.4,244.1,0.125937,111.2,42.38,0.12536,9.159,5.111,0.125995,439.9,144.7,0.126105,147.2,22.24,0.125715,5.534,2.914,0.125685,91.98,61.41,0.126272,81.98,21.93,0.12566,15.23,2.18,0.125766,38.64,34.19,0.126045,11.67,3.331,0.125531,11.38,1.212
0.157628,1004,168.6,0.0158655,233,29.34,0.158104,28.26,8.908,0.158869,1086,236,0.158706,123.4,25.71,0.157592,21.95,6.355,0.157628,505.8,241.3,0.158147,112.5,41.89,0.157709,9.371,5.2,0.159629,440,143.4,0.159421,147.4,22.43,0.158579,5.602,2.906,0.158146,94.18,62.27,0.158066,82.46,22.09,0.158567,14.96,2.133,0.158013,39.88,34.58,0.157993,11.74,3.364,0.157553,11.32,1.224
0.200085,1005,167.9,0.0198858,233.5,29.06,0.199797,28.42,8.878,0.198952,1093,239.7,0.198817,123.7,25.61,0.19974,22.15,6.322,0.198509,509.7,244.3,0.199177,113.7,41.77,0.199296,9.575,5.267,0.199411,439.9,143.5,0.199357,147.1,22.36,0.199379,5.661,2.948,0.198608,96.25,63.48,0.198328,82.86,22.18,0.199894,14.7,2.115,0.199375,41.08,35.41,0.198545,11.84,3.365,0.200411,11.21,1.204
0.25522,1000,164.8,0.025544,232.3,28.21,0.250572,28.56,8.824,0.250825,1095,240.2,0.252102,124,25.59,0.251096,22.3,6.331,0.249934,511.5,243,0.250973,114.3,41.68,0.251386,9.763,5.345,0.250694,439.5,142.5,0.25102,146.3,22.21,0.251721,5.725,2.971,0.25092,98.33,64.33,0.251618,83.14,22.34,0.252498,14.4,2.031,0.250416,42.3,35.91,0.252124,11.92,3.395,0.251017,11.13,1.207
0.314871,1001,165.1,0.0312681,233.6,28.52,0.315207,28.68,8.821,0.317015,1095,240.4,0.31593,124.4,25.66,0.316318,22.38,6.284,0.312066,512.9,241.8,0.316844,115,41.7,0.315907,9.923,5.404,0.316118,438.7,142.2,0.316391,145.4,22.27,0.315402,5.791,2.991,0.316367,100.6,65.27,0.31621,83.71,22.71,0.316489,14.1,2.019,0.315429,43.42,36.62,0.316509,12.03,3.446,0.316736,11,1.196
0.394318,995.3,163.8,0.039532,234.7,28.52,0.397183,28.73,8.778,0.399357,1096,241.2,0.396921,124.7,25.72,0.398003,22.41,6.226,0.398351,510.5,239.6,0.397717,115.2,41.81,0.3977,10.1,5.452,0.401584,439.6,142.8,0.399179,142.8,22.53,0.398067,5.838,3.001,0.39858,102.7,66.14,0.399183,84.28,23.06,0.39863,13.77,1.983,0.396979,44.59,37.39,0.399539,12.13,3.505,0.398241,10.81,1.227
0.508237,988.6,162.7,0.048994,235.9,28.4,0.500914,28.75,8.733,0.501413,1090,240.2,0.500703,124.9,25.77,0.501173,22.41,6.168,0.499631,509.4,237.8,0.501016,115.8,42.22,0.500821,10.26,5.511,0.503706,438.9,142.6,0.501684,141.4,22.19,0.500644,5.883,3.037,0.500299,104.8,67.44,0.500169,84.7,23.55,0.501528,13.44,1.967,0.500501,45.8,38.16,0.500401,12.28,3.572,0.499979,10.51,1.35
0.627807,983.3,161.3,0.0629247,234.6,28.36,0.631344,28.72,8.678,0.630934,1088,240.2,0.630475,124.8,25.79,0.631256,22.14,6.049,0.628759,507.1,235.5,0.630531,114.8,42.18,0.63015,10.41,5.564,0.631343,436.1,141.4,0.63019,139.1,21.98,0.631188,5.942,3.075,0.630185,107.2,68.81,0.630163,84.99,24.43,0.631866,13.09,1.969,0.630304,46.84,39,0.630471,12.41,3.646,0.630954,10.21,1.483
0.7958,976.1,159.9,0.0801718,235.8,28.28,0.794853,28.73,8.639,0.796169,1083,239.7,0.793668,124.8,25.83,0.794307,22.12,6.022,0.794857,505,233.4,0.793166,114,42.28,0.795197,10.53,5.608,0.793771,435.9,141.3,0.794649,136.8,22,0.794169,6.021,3.122,0.792793,109.1,70.04,0.794203,85.21,25.11,0.794831,12.73,1.973,0.794185,47.74,39.64,0.794852,12.54,3.741,0.793745,9.897,1.564
1.00006,973.4,159.7,0.0995757,235.6,28.24,0.999299,28.79,8.621,1.00073,1082,240,0.999121,124.7,25.94,0.999924,22.16,6.002,0.996409,505.5,232.6,0.999802,113,42.59,0.999126,10.7,5.694,1.00159,436.6,141.5,1.00074,135.3,22.22,0.999628,6.087,3.157,1.00007,110.1,70.83,0.999301,84.9,25.54,1.00055,12.4,2.032,0.998747,48.49,40.15,1.00071,12.66,3.847,1.00235,9.605,1.645
1.2612,981.3,160.4,0.126589,236.1,28.25,1.25888,29.04,8.678,1.25629,1084,242.9,1.25872,124.5,26.09,1.2577,22.4,6.064,1.25593,508.7,233.1,1.25938,112.1,43.01,1.2584,10.87,5.779,1.25761,440.3,142.7,1.2586,133.9,22.94,1.25873,6.113,3.183,1.25836,110.8,71.46,1.25894,83.65,25.69,1.26107,12.09,2.13,1.25814,48.98,40.59,1.25981,12.57,3.9,1.25963,9.283,1.756
1.58157,989,161.5,0.158394,236.7,28.22,1.58409,29.37,8.766,1.58478,1087,245.8,1.58456,124.2,26.36,1.58783,22.61,6.139,1.58458,514,234.6,1.58295,111.1,43.46,1.58321,11.02,5.855,1.58503,443.9,143.8,1.585,132.8,23.55,1.58361,6.141,3.208,1.58299,111.1,72.61,1.58514,82.03,25.74,1.58648,11.73,2.24,1.5835,49.3,40.91,1.58612,12.4,3.947,1.58432,8.951,1.863
1.99592,989,161.8,0.198777,237.5,28.31,1.99458,29.47,8.79,1.99442,1083,247.1,1.99421,124.1,26.73,1.99428,22.7,6.149,1.99074,515.5,234.3,1.99289,109.4,43.75,1.99476,11.16,5.938,1.99274,444.1,143.9,1.99616,130.5,24.12,1.99488,6.176,3.25,1.99384,111.6,73.74,1.99472,80.95,26.25,1.99783,11.28,2.341,1.99406,49.83,41.45,1.99712,12.24,4.053,1.99787,8.553,1.953
2.51207,988.4,161.9,0.251949,238.7,28.3,2.51072,29.53,8.819,2.51046,1083,248.8,2.51189,123.8,27.28,2.5101,22.71,6.175,2.508,517.4,234.5,2.51134,107.7,44.33,2.51065,11.26,6.013,2.50722,443.8,143.9,2.51399,127.9,25.09,2.51071,6.189,3.288,2.50793,111.8,74.97,2.5131,79.19,26.85,2.51286,10.79,2.449,2.5078,50.31,42.02,2.51127,12,4.156,2.51319,8.103,2.055
3.16261,989.8,162.3,0.315579,240.1,28.48,3.15967,29.61,8.875,3.1615,1083,250.8,3.16184,123.5,27.92,3.16297,22.74,6.224,3.16303,521.3,235.6,3.16004,105.7,44.98,3.16061,11.35,6.101,3.15719,444.4,144.1,3.16464,124.8,26.9,3.16026,6.179,3.326,3.1593,112,76.07,3.16331,76.69,27.62,3.16487,10.3,2.554,3.16005,50.67,42.54,3.16401,11.61,4.274,3.16343,7.646,2.148
3.98127,990.6,162.6,0.397751,242.5,28.64,3.97906,29.67,8.957,3.98044,1081,252.8,3.98129,122.7,28.68,3.98109,22.75,6.29,3.98173,522.8,236,3.97898,103.1,45.62,3.97853,11.41,6.196,3.9746,444.9,144.5,3.98681,120,28.91,3.97964,6.151,3.378,3.97945,111.9,77.13,3.98636,73.66,28.77,3.98083,9.749,2.629,3.97904,50.91,43.01,3.98669,11.15,4.415,3.98526,7.148,2.25
5.0152,991.6,163.5,0.501679,245.5,28.9,5.0162,29.65,9.05,5.00979,1078,255.3,5.01115,121.8,29.61,5.00833,22.71,6.37,5.01172,524,236.6,5.01335,99.86,46.29,5.00911,11.47,6.313,5.01305,444.8,144.9,5.00728,114.5,30.54,5.01251,6.091,3.44,5.00565,111.4,78.41,5.00669,69.63,30.06,5.0194,9.166,2.686,5.00576,51.04,43.55,5.00801,10.62,4.536,5.01058,6.639,2.338
6.30926,991.4,165,0.630421,247.7,29.27,6.30839,29.59,9.183,6.30939,1074,258.3,6.30931,120.5,30.74,6.3093,22.62,6.468,6.31088,525.6,237.7,6.30603,96.29,47.07,6.30525,11.47,6.431,6.30419,444.3,145.4,6.31278,108.8,31.85,6.30746,5.991,3.506,6.30203,110.8,79.38,6.31227,64.84,31.3,6.3163,8.567,2.736,6.30261,50.99,44.05,6.31482,10.01,4.637,6.31463,6.106,2.433
