70/3,,,,,,70/6,,,,,,70/9,,,,,,70/12,,,,,,70/18,,,,,,70/24,,,,,
gamma*(%),Low-PI G',"Low-PI G""",gamma*(%),High-PI G',"High-PI G""",gamma*(%),Low-PI G',"Low-PI G""",gamma*(%),High-PI G',"High-PI G""",gamma*(%),Low-PI G',"Low-PI G""",gamma*(%),High-PI G',"High-PI G""",gamma*(%),Low-PI G',"Low-PI G""",gamma*(%),High-PI G',"High-PI G""",gamma*(%),Low-PI G',"Low-PI G""",gamma*(%),High-PI G',"High-PI G""",gamma*(%),Low-PI G',"Low-PI G""",gamma*(%),High-PI G',"High-PI G"""
0.048994,235.9,28.4,0.501327,117.6,56.76,0.500703,124.9,25.77,0.50035,60.21,26.33,0.501016,115.8,42.22,0.499637,32.57,10.67,0.501684,141.4,22.19,0.500976,44.26,24.7,0.500169,84.7,23.55,0.500238,20.1,5.353,0.500401,12.28,3.572,0.500208,13.77,3.09
0.0629247,234.6,28.36,0.630297,118.9,57.27,0.630475,124.8,25.79,0.630886,60.49,26.45,0.630531,114.8,42.18,0.631239,32.39,10.6,0.63019,139.1,21.98,0.63121,43.9,24.56,0.630163,84.99,24.43,0.630364,20.32,5.41,0.630471,12.41,3.646,0.629369,13.72,3.066
0.0801718,235.8,28.28,0.795296,119.1,57.31,0.793668,124.8,25.83,0.794847,60.78,26.56,0.793166,114,42.28,0.793965,32.32,10.57,0.794649,136.8,22,0.793717,43.55,24.46,0.794203,85.21,25.11,0.794284,20.52,5.47,0.794852,12.54,3.741,0.792842,13.69,3.056
0.0995757,235.6,28.24,1.00008,119.1,57.22,0.999121,124.7,25.94,0.999174,61.18,26.73,0.999802,113,42.59,1.00119,32.28,10.57,1.00074,135.3,22.22,1.00057,43.32,24.51,0.999301,84.9,25.54,0.99889,20.67,5.51,1.00071,12.66,3.847,0.998373,13.68,3.052
0.126589,236.1,28.25,1.25902,119,57.11,1.25872,124.5,26.09,1.25737,61.37,26.81,1.25938,112.1,43.01,1.25843,32.47,10.67,1.2586,133.9,22.94,1.25926,43.19,24.72,1.25894,83.65,25.69,1.26073,20.65,5.499,1.25981,12.57,3.9,1.25825,13.72,3.071
0.158394,236.7,28.22,1.5837,119.2,57.13,1.58456,124.2,26.36,1.58585,61.35,26.79,1.58295,111.1,43.46,1.58622,32.69,10.82,1.585,132.8,23.55,1.58436,43,25.06,1.58514,82.03,25.74,1.58463,20.56,5.476,1.58612,12.4,3.947,1.5852,13.78,3.092
0.198777,237.5,28.31,1.9945,119.4,57.12,1.99421,124.1,26.73,1.99661,61.52,26.88,1.99289,109.4,43.75,1.99653,32.62,10.89,1.99616,130.5,24.12,1.99344,42.46,25.32,1.99472,80.95,26.25,1.99465,20.64,5.507,1.99712,12.24,4.053,1.99683,13.77,3.102
0.251949,238.7,28.3,2.51115,119.8,57.27,2.51189,123.8,27.28,2.51186,61.57,26.92,2.51134,107.7,44.33,2.51014,32.45,10.97,2.51399,127.9,25.09,2.5087,41.72,25.65,2.5131,79.19,26.85,2.51081,20.65,5.523,2.51127,12,4.156,2.50972,13.74,3.114
0.315579,240.1,28.48,3.162,120.2,57.44,3.16184,123.5,27.92,3.16243,61.51,26.92,3.16004,105.7,44.98,3.16293,32.27,11.08,3.16464,124.8,26.9,3.16148,40.85,26.15,3.16331,76.69,27.62,3.16188,20.6,5.52,3.16401,11.61,4.274,3.16359,13.7,3.14
0.397751,242.5,28.64,3.9788,120.6,57.56,3.98129,122.7,28.68,3.98026,61.54,26.99,3.97898,103.1,45.62,3.98076,32.02,11.18,3.98681,120,28.91,3.98515,39.48,26.54,3.98636,73.66,28.77,3.97975,20.62,5.551,3.98669,11.15,4.415,3.98067,13.65,3.164
