Initial-1,,,,,Initial-2,,,,,Initial-3,,,,,Initial-mean,,,,
gamma*(%),G*,G',"G""",LT,gamma*(%),G*(Pa),G'(Pa),"G""(Pa)",LT,gamma*(%),G*(Pa),G'(Pa),"G""(Pa)",LT,gamma*(%),G*,G',"G""",LT
159.507,55.73,53.41,15.9,0.29769706,158.803,27.79,19.52,19.78,1.013319672,158.528,37.67,27.33,25.93,0.948774241,158.946,40.39666667,33.42,20.53666667,0.753263658
252.302,37.99,32.02,20.45,0.638663335,251.693,22.83,14.82,17.37,1.172064777,250.95,30.98,20.55,23.19,1.128467153,251.6483333,30.6,22.46333333,20.33666667,0.979731755
398.234,29.41,21.4,20.18,0.942990654,398.784,18.67,11.26,14.9,1.323268206,397.987,25.75,15.71,20.4,1.298535964,398.335,24.61,16.12333333,18.49333333,1.188264942
630.24,23.23,13.79,18.69,1.355329949,628.806,15.62,8.45,13.13,1.553846154,630.453,21.16,12.05,17.39,1.443153527,629.833,20.00333333,11.43,16.40333333,1.450776543
997.718,18.63,9.023,16.3,1.806494514,1.00E+03,12.51,5.615,11.18,1.99109528,999.732,17.85,9.467,15.13,1.598183163,1000.03,16.33,8.035,14.20333333,1.798590986
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
