"time (s)",G*(Pa),G*(Pa),G*(Pa),G'(Pa),G'(Pa),G'(Pa),"G""(Pa)","G""(Pa)","G""(Pa)","Loss tangent","Loss tangent","Loss tangent"
778.200,595.10,494.70,329.00,587.6,488.3,325.7,93.880,79.010,46.320,0.156399829,,
780.200,596.10,492.80,328.90,588.9,488.1,326.4,92.140,68.450,41.120,0.143729514,,
782.200,596.40,489.90,326.50,589.3,486.7,324.4,91.400,56.570,36.700,0.131869466,,
784.200,597.00,487.10,324.30,590.2,482.9,322.5,90.070,63.760,33.860,0.134486959,,
786.200,597.90,494.50,323.00,591.3,491.9,321.4,88.530,50.540,32.000,0.121792681,,
788.200,598.40,503.10,322.40,591.9,501.0,320.8,88.280,45.250,31.540,0.116764519,,
790.200,599.00,505.30,322.30,592.4,501.9,320.9,89.030,58.160,30.620,0.125643019,,
792.200,600.50,514.60,322.40,594.0,513.0,321.0,87.750,39.810,30.050,0.110371148,,
794.200,602.20,512.00,322.60,596.1,509.6,321.2,85.720,49.730,29.730,0.115761441,,
796.200,603.40,511.80,322.80,597.2,509.4,321.4,85.980,48.830,29.940,0.115371148,,
798.200,604.80,513.10,323.20,598.7,511.6,321.9,85.690,39.160,29.840,0.108008658,,
800.200,606.00,512.30,323.60,599.9,511.4,322.2,86.100,31.200,30.130,0.102846181,,
802.200,607.90,510.10,324.30,601.9,509.0,322.9,84.850,33.290,29.600,0.103040870,,
804.200,609.20,507.30,324.40,603.3,506.0,323.0,84.830,35.250,29.660,0.104545137,,
806.200,610.40,506.30,324.60,604.5,505.2,323.3,85.150,34.100,29.160,0.103565946,,
808.200,612.10,506.60,324.80,606.3,505.8,323.5,84.080,29.110,29.370,0.099303427,,
810.200,613.20,504.90,325.20,607.4,503.9,323.8,84.060,31.260,30.020,0.101275172,,
812.200,614.50,503.10,325.50,608.7,502.1,324.1,83.810,32.170,29.790,0.101588961,,
814.200,615.20,502.00,325.70,609.3,500.9,324.4,84.980,33.530,29.430,0.103122822,,
816.200,616.40,502.50,325.80,610.7,501.9,324.4,83.510,25.890,29.890,0.096931106,,
818.200,617.10,502.30,326.00,611.4,501.7,324.5,83.720,24.890,30.690,0.096897607,,
820.200,617.90,499.90,326.70,612.3,498.8,325.3,83.430,31.800,29.750,0.100932888,,
822.200,618.70,499.60,326.80,613.0,498.6,325.5,83.460,31.740,29.870,0.100946350,,
824.200,619.30,501.80,327.10,613.7,501.3,325.7,83.570,22.730,29.450,0.094225029,,
826.200,620.20,500.20,327.00,614.6,499.6,325.6,83.040,23.760,29.960,0.094985415,,
828.200,620.90,499.00,327.10,615.3,498.1,325.7,83.050,30.290,30.230,0.099763741,,
830.200,621.50,500.00,327.40,616.0,499.4,326.1,82.790,25.430,29.690,0.095671176,,
832.200,621.70,499.80,327.90,616.1,499.0,326.6,83.570,28.450,29.670,0.098279809,,
834.200,622.60,498.40,327.90,617.2,497.3,326.6,82.020,32.930,29.570,0.100284505,,
836.200,622.90,500.70,328.00,617.4,500.1,326.7,82.280,23.570,29.690,0.093851267,,
838.200,623.10,500.70,328.10,617.6,500.2,326.8,82.590,22.960,29.380,0.093403018,,
840.200,623.60,499.60,327.90,618.1,498.9,326.6,82.570,27.230,29.860,0.096744250,,
842.200,624.20,498.30,328.40,618.7,497.1,327.0,82.500,35.110,29.660,0.102072359,,
844.200,624.40,500.20,328.50,618.9,499.5,327.2,82.910,26.120,29.780,0.096022413,,
846.200,625.00,497.90,328.40,619.7,496.8,327.1,81.720,32.110,30.010,0.099639789,,
848.200,625.20,498.80,328.90,619.8,497.9,327.6,82.030,29.620,29.380,0.097578357,,
850.200,625.70,499.20,329.20,620.4,498.5,327.8,81.300,27.200,29.970,0.095714384,,
852.200,681.80,316.70,267.60,599.0,259.7,230.0,325.800,181.200,136.700,0.591255626,,
854.200,390.10,119.70,108.70,328.8,50.6,64.4,209.900,108.400,87.640,0.914670692,,
856.200,343.70,126.00,105.30,270.1,56.5,61.9,212.500,112.600,85.220,1.056164736,,
858.200,343.00,139.90,107.40,278.1,68.6,67.8,200.800,121.900,83.330,0.979423968,,
860.200,342.20,147.40,110.90,278.8,75.8,71.8,198.400,126.400,84.520,0.959876181,,
862.200,340.20,146.80,111.90,277.4,75.0,73.0,196.900,126.200,84.800,0.959020055,,
864.200,338.00,146.80,112.30,275.3,75.2,73.7,196.000,126.100,84.740,0.959234197,,
866.200,336.80,145.90,112.50,274.0,74.5,74.1,195.900,125.500,84.720,0.961139774,,
868.200,336.50,145.80,112.70,273.7,74.4,74.3,195.800,125.400,84.740,0.961100457,,
870.200,336.40,145.60,112.90,273.8,74.3,74.5,195.500,125.200,84.750,0.959440593,,
872.200,336.00,145.80,113.00,273.6,74.5,74.7,195.000,125.400,84.780,0.958416123,,
874.200,335.20,145.40,113.10,272.9,74.1,74.8,194.700,125.100,84.790,0.959244156,,
876.200,334.50,145.30,113.10,272.2,74.1,74.9,194.500,125.000,84.790,0.959921172,,
878.200,334.20,144.90,113.20,271.8,73.8,75.0,194.400,124.700,84.800,0.960408988,,
880.200,333.90,144.40,113.30,271.6,73.5,75.1,194.200,124.400,84.840,0.960205636,,
882.200,333.60,144.10,113.40,271.3,73.4,75.2,194.000,124.100,84.890,0.959797080,,
884.200,333.20,143.80,113.50,270.9,73.1,75.3,193.900,123.800,84.940,0.960129721,,
886.200,332.80,143.50,113.60,270.6,72.9,75.5,193.800,123.700,84.980,0.960687433,,
888.200,332.50,143.50,113.80,270.2,72.8,75.6,193.700,123.700,85.020,0.961370315,,
890.200,332.20,143.40,113.90,270.0,72.7,75.7,193.600,123.600,85.060,0.961608338,,
892.200,332.00,143.30,114.00,269.8,72.6,75.8,193.500,123.600,85.130,0.961927538,,
894.200,331.80,143.10,114.10,269.6,72.4,75.9,193.300,123.400,85.190,0.961758442,,
896.200,331.50,142.90,114.20,269.4,72.3,76.0,193.200,123.200,85.240,0.961689493,,
898.200,331.30,142.70,114.30,269.1,72.3,76.0,193.100,123.000,85.290,0.961482262,,
900.200,331.10,142.50,114.30,269.0,72.3,76.1,193.100,122.800,85.330,0.961398380,,
