"time (s)",G*,G*,G*,G',G',G',"G""","G""","G""",LT,LT,LT
2.104,,,,,,,,,,,,
4.104,,,,,,,,,,,,
6.104,,,,,,,,,,,,
8.104,21.0700,21.5500,10.9500,19.9600,20.9500,10.4000,6.7300,5.0310,3.4350,0.296160592,,
10.100,21.2200,21.6300,10.9700,20.2600,21.1100,10.5200,6.3170,4.7230,3.0900,0.272306803,,
12.100,21.3500,21.6900,10.9800,20.4900,21.2300,10.6000,5.9880,4.4350,2.8500,0.253688838,,
14.100,21.4400,21.7100,10.9700,20.6100,21.2600,10.6100,5.9340,4.3900,2.7910,0.249904726,,
16.100,21.5300,21.7700,10.9700,20.7000,21.3200,10.6100,5.9430,4.3820,2.7710,0.248831465,,
18.100,21.6100,21.7900,10.9900,20.7800,21.3500,10.6400,5.9330,4.3620,2.7270,0.246768998,,
20.100,21.7000,21.8600,10.9800,20.8800,21.4300,10.6500,5.8940,4.3430,2.6850,0.243995468,,
22.100,21.7700,21.8700,10.9800,20.9600,21.4300,10.6600,5.8770,4.3570,2.6380,0.242639020,,
24.100,21.8500,21.9000,10.9800,21.0500,21.4500,10.6700,5.8520,4.4340,2.5930,0.242223058,,
26.100,21.9100,21.9300,10.9800,21.1100,21.4600,10.6600,5.8670,4.5210,2.6130,0.244241969,,
28.100,21.9900,21.9500,10.9900,21.2000,21.4500,10.6600,5.8580,4.6390,2.6400,0.246426562,,
30.100,22.0700,21.9700,10.9900,21.2800,21.4800,10.6700,5.8650,4.6000,2.6300,0.245087030,,
32.100,22.1400,21.9700,10.9600,21.3500,21.5200,10.6500,5.8880,4.4040,2.5940,0.240769806,,
34.100,22.2200,21.9800,10.9500,21.4300,21.5300,10.6500,5.8620,4.4160,2.5570,0.239414288,,
36.100,22.2900,22.0000,10.9400,21.5000,21.5500,10.6400,5.8730,4.4310,2.5460,0.239336934,,
38.100,22.3600,22.0100,10.9300,21.5800,21.5500,10.6300,5.8510,4.4990,2.5470,0.239899554,,
40.100,22.4200,22.0000,10.9200,21.6500,21.5400,10.6200,5.8520,4.5120,2.5380,0.239769560,,
42.100,22.4800,21.9900,10.9100,21.7100,21.5300,10.6200,5.8550,4.4750,2.5000,0.238210175,,
44.100,22.5400,22.0200,10.9200,21.7700,21.5700,10.6300,5.8490,4.4340,2.4710,0.236316472,,
46.100,22.6100,22.0400,10.9100,21.8400,21.5800,10.6400,5.8510,4.4630,2.4480,0.236071032,,
48.100,22.6600,22.0600,10.9000,21.8000,21.6000,10.6300,6.2040,4.4460,2.4230,0.241958171,,
50.100,22.6800,22.0600,10.9000,21.8100,21.6000,10.6300,6.2410,4.4810,2.3800,0.242450037,,
52.100,22.7200,22.0700,10.8900,21.9200,21.6200,10.6300,5.9550,4.4470,2.3780,0.235923943,,
54.100,22.8000,22.0400,10.9000,22.0200,21.5800,10.6300,5.8820,4.4470,2.3870,0.234482759,,
56.100,22.8700,22.0400,10.8900,22.1000,21.5900,10.6200,5.8790,4.4300,2.3880,0.233787516,,
58.100,22.9300,22.0400,10.8700,22.1700,21.5900,10.6000,5.8730,4.4230,2.3780,0.233149375,,
60.100,22.9900,22.0300,10.8500,22.2200,21.5900,10.5900,5.8810,4.3900,2.3520,0.232040441,,
62.100,23.0300,22.0300,10.8400,22.2800,21.5800,10.5900,5.8430,4.4190,2.3110,0.230909091,,
64.100,23.0800,22.0400,10.8300,22.3300,21.5900,10.5700,5.8350,4.4200,2.3510,0.231345201,,
66.100,23.1200,22.0200,10.8300,22.3600,21.5800,10.5700,5.8820,4.4150,2.3990,0.232911392,,
68.100,23.1800,22.0300,10.8100,22.4200,21.5800,10.5300,5.8820,4.3890,2.4630,0.233522831,,
70.100,23.2400,22.0000,10.7900,22.4900,21.5600,10.5100,5.8620,4.3440,2.4420,0.231818182,,
72.100,23.2800,22.0100,10.7800,22.5300,21.5800,10.5100,5.8660,4.3370,2.4040,0.230812889,,
74.100,23.3400,22.0000,10.7600,22.5900,21.5600,10.4900,5.8770,4.3760,2.4050,0.231661786,,
76.100,23.3900,22.0000,10.7600,22.6400,21.5600,10.4800,5.8790,4.3730,2.4310,0.231949525,,
78.100,23.4400,22.0000,10.7500,22.6900,21.5700,10.4800,5.8880,4.3560,2.4210,0.231366460,,
