"time (s)",G*,G*,G*,G',G',G',"G""","G""","G""",LT,LT,LT
2.104,,,,,,,,,,,,
4.104,,,,,,,,,,,,
6.104,,,,,,,,,,,,
8.104,44.56,20.65,54.30,39.22,19.68,51.22,21.140,6.263,18.030,0.412577189,,
10.100,44.46,20.71,54.70,39.49,19.83,52.04,20.430,5.961,16.850,0.388299210,,
12.100,44.54,20.74,55.32,39.85,19.88,52.90,19.910,5.939,16.200,0.373337477,,
14.100,44.58,20.77,55.89,39.94,19.89,53.51,19.800,5.989,16.130,0.369851773,,
16.100,44.52,20.78,56.45,39.83,19.89,54.12,19.880,5.997,16.040,0.368209768,,
18.100,44.53,20.81,56.95,39.86,19.93,54.65,19.850,5.977,16.030,0.365754981,,
20.100,44.56,20.86,57.48,39.90,19.99,55.22,19.840,5.954,15.940,0.362557554,,
22.100,44.56,20.85,57.92,39.88,19.98,55.67,19.880,5.961,15.990,0.362079114,,
24.100,44.61,20.86,58.36,39.94,19.99,56.13,19.870,5.961,15.950,0.359994830,,
26.100,44.57,20.85,58.78,39.92,19.97,56.59,19.830,5.983,15.900,0.358112981,,
28.100,44.56,20.87,59.20,39.90,20.01,57.04,19.840,5.953,15.880,0.356331766,,
30.100,44.53,20.86,59.57,39.87,19.98,57.42,19.840,5.976,15.880,0.355555556,,
32.100,44.57,20.86,59.89,39.94,19.99,57.74,19.790,5.972,15.930,0.354312909,,
34.100,44.55,20.86,60.22,39.91,19.98,58.10,19.800,5.989,15.840,0.352818035,,
36.100,44.59,20.86,60.51,39.94,19.98,58.38,19.820,5.998,15.910,0.352730347,,
38.100,44.59,20.86,60.83,39.95,19.98,58.72,19.820,5.992,15.890,0.351470712,,
40.100,44.58,20.86,61.15,39.93,19.97,59.05,19.820,6.007,15.890,0.350710383,,
42.100,44.58,20.86,61.38,39.96,19.97,59.29,19.770,6.009,15.880,0.349429626,,
44.100,44.59,20.85,61.61,39.95,19.97,59.53,19.790,6.015,15.880,0.348974466,,
46.100,44.58,20.86,61.92,39.94,19.97,59.85,19.810,6.027,15.890,0.348421844,,
48.100,44.60,20.85,62.19,39.96,19.96,60.15,19.790,6.027,15.770,0.346356292,,
50.100,44.64,20.85,62.41,40.02,19.95,60.36,19.780,6.043,15.870,0.346488822,,
52.100,44.65,20.85,62.59,40.02,19.95,60.55,19.790,6.044,15.880,0.346116827,,
54.100,44.65,20.84,62.76,40.04,19.94,60.73,19.760,6.050,15.830,0.344958993,,
56.100,44.64,20.84,62.94,40.02,19.95,60.95,19.770,6.022,15.700,0.343135958,,
58.100,44.63,20.83,63.11,40.01,19.95,61.13,19.780,6.018,15.710,0.342786357,,
60.100,44.64,20.82,63.30,40.02,19.92,61.32,19.780,6.038,15.710,0.342470724,,
62.100,44.64,20.80,63.46,40.02,19.91,61.50,19.780,6.026,15.660,0.341480688,,
64.100,44.65,20.81,63.61,40.03,19.91,61.66,19.770,6.029,15.650,0.340863487,,
66.100,44.65,20.80,63.74,40.03,19.90,61.77,19.770,6.029,15.730,0.341240756,,
68.100,44.66,20.78,63.90,40.04,19.89,61.95,19.780,6.015,15.680,0.340293732,,
70.100,44.66,20.78,64.08,40.04,19.90,62.15,19.780,5.992,15.600,0.338864772,,
72.100,44.67,20.77,64.21,40.05,19.88,62.28,19.770,6.014,15.620,0.338793879,,
74.100,44.67,20.75,64.39,40.06,19.86,62.48,19.770,6.010,15.550,0.337663399,,
76.100,44.69,20.75,64.50,40.08,19.86,62.59,19.750,5.997,15.610,0.337525504,,
78.100,44.68,20.73,64.61,40.06,19.84,62.68,19.770,5.994,15.660,0.337934410,,
80.100,44.68,20.73,64.74,40.06,19.85,62.84,19.780,5.974,15.580,0.336733198,,
82.100,44.70,20.71,64.90,40.10,19.83,63.00,19.750,5.980,15.600,0.336207598,,
84.100,44.70,20.71,65.05,40.09,19.83,63.14,19.770,5.976,15.620,0.336144970,,
86.100,44.71,20.70,65.18,40.09,19.82,63.27,19.790,5.968,15.660,0.336239649,,
88.100,44.71,20.70,65.35,40.09,19.82,63.45,19.800,5.984,15.620,0.335635538,,
90.100,44.74,20.68,65.55,40.14,19.80,63.65,19.750,5.984,15.670,0.335010923,,
