"time (s)",G*,G*,G*,G',G',G',"G""","G""","G""",LT,LT,LT
2.113,,,,,,,,,,,,
4.113,,,,,,,,,,,,
6.113,,,,,,,,,,,,
8.113,92.42,19.96,39.72,81.61,18.13,38.76,43.38,8.36,8.66,0.436122744,,
10.110,92.57,20.02,39.91,82.49,18.33,39.11,42.00,8.04,7.96,0.414485814,,
12.110,92.93,20.09,40.06,83.42,18.53,39.30,40.96,7.77,7.78,0.400021239,,
14.110,93.02,20.16,40.17,83.50,18.61,39.43,41.00,7.75,7.69,0.398777731,,
16.110,93.11,20.23,40.28,83.60,18.69,39.55,41.00,7.74,7.62,0.397327975,,
18.110,93.22,20.30,40.36,83.76,18.79,39.65,40.93,7.69,7.57,0.395091421,,
20.110,93.29,20.34,40.44,83.81,18.81,39.73,40.99,7.74,7.52,0.395145767,,
22.110,93.39,20.38,40.50,83.92,18.85,39.80,40.97,7.75,7.50,0.394318580,,
24.110,93.47,20.45,40.55,84.00,18.93,39.86,41.00,7.74,7.47,0.393634008,,
26.110,93.56,20.50,40.59,84.08,18.98,39.91,41.04,7.73,7.42,0.393026509,,
28.110,93.65,20.55,40.63,84.19,19.05,39.95,41.03,7.70,7.43,0.392227111,,
30.110,93.78,20.60,40.69,84.37,19.12,40.01,40.95,7.69,7.38,0.390390244,,
32.110,93.84,20.64,40.73,84.40,19.16,40.06,41.01,7.66,7.36,0.390112798,,
34.110,93.92,20.69,40.78,84.50,19.22,40.11,40.99,7.64,7.34,0.389133004,,
36.110,93.99,20.72,40.83,84.58,19.27,40.17,40.99,7.64,7.30,0.388314123,,
38.110,94.09,20.76,40.88,84.71,19.31,40.22,40.95,7.63,7.29,0.387298946,,
40.110,94.12,20.79,40.95,84.71,19.35,40.30,41.03,7.60,7.26,0.387115544,,
42.110,94.20,20.83,41.00,84.79,19.39,40.36,41.05,7.60,7.19,0.386363636,,
44.110,94.27,20.89,41.03,84.86,19.46,40.40,41.05,7.58,7.16,0.385489221,,
46.110,94.37,20.92,41.04,84.99,19.50,40.41,41.00,7.58,7.16,0.384651484,,
48.110,94.43,20.97,41.05,85.05,19.55,40.42,41.03,7.58,7.14,0.384450421,,
50.110,94.52,20.98,41.07,85.16,19.56,40.45,41.00,7.59,7.08,0.383446993,,
52.110,94.57,21.00,41.10,85.19,19.59,40.50,41.05,7.58,7.04,0.383163546,,
54.110,94.63,21.04,41.12,85.28,19.63,40.50,41.02,7.56,7.09,0.382827866,,
56.110,94.70,21.08,41.14,85.36,19.69,40.53,41.01,7.52,7.09,0.382092320,,
58.110,94.76,21.11,41.18,85.41,19.72,40.57,41.03,7.52,7.10,0.381914894,,
60.110,94.84,21.13,41.20,85.49,19.76,40.59,41.05,7.50,7.06,0.381335710,,
62.110,94.87,21.17,41.19,85.50,19.79,40.58,41.11,7.52,7.05,0.381675464,,
64.110,94.97,21.20,41.17,85.66,19.81,40.55,41.02,7.56,7.07,0.381119025,,
66.110,95.02,21.24,41.16,85.69,19.86,40.55,41.06,7.53,7.06,0.380876112,,
68.110,95.10,21.27,41.21,85.78,19.90,40.60,41.06,7.50,7.01,0.379908395,,
70.110,95.14,21.30,41.22,85.80,19.93,40.62,41.10,7.51,7.01,0.380040998,,
72.110,95.24,21.33,41.24,85.95,19.98,40.64,41.03,7.49,7.02,0.378931569,,
74.110,95.28,21.36,41.27,85.97,20.01,40.68,41.09,7.48,6.95,0.378535388,,
76.110,95.33,21.40,41.26,86.00,20.05,40.67,41.11,7.48,6.95,0.378510087,,
78.110,95.38,21.44,41.25,86.07,20.10,40.66,41.11,7.46,6.94,0.378090309,,
80.110,95.42,21.46,41.23,86.10,20.11,40.64,41.13,7.50,6.95,0.378454205,,
82.110,95.49,21.49,41.23,86.17,20.14,40.65,41.15,7.50,6.89,0.377864725,,
84.110,95.55,21.51,41.24,86.24,20.16,40.66,41.13,7.50,6.89,0.377532980,,
86.110,95.60,21.54,41.25,86.28,20.20,40.67,41.17,7.48,6.88,0.377342847,,
88.110,95.66,21.58,41.25,86.36,20.25,40.68,41.14,7.47,6.83,0.376434245,,
90.110,95.71,21.60,41.19,86.40,20.27,40.62,41.17,7.47,6.80,0.376359563,,
92.110,95.76,21.63,41.16,86.45,20.30,40.60,41.18,7.46,6.76,0.375961995,,
94.110,95.80,21.66,41.12,86.48,20.33,40.55,41.21,7.47,6.82,0.376621878,,
96.110,95.85,21.69,41.10,86.55,20.36,40.53,41.18,7.48,6.80,0.376105534,,
98.110,95.89,21.71,41.09,86.59,20.38,40.53,41.19,7.48,6.78,0.375891525,,
100.100,95.95,21.73,41.08,86.66,20.40,40.52,41.17,7.46,6.76,0.375294755,,
102.100,119.00,15.73,25.79,100.00,9.50,20.96,64.41,12.55,15.02,0.705070714,,
104.100,63.58,9.95,6.18,50.14,5.93,3.58,39.09,7.99,5.04,0.873964656,,
106.100,49.20,7.99,4.61,36.14,4.44,2.11,33.38,6.64,4.10,1.033473881,,
108.100,46.85,7.08,3.87,34.81,4.14,1.74,31.35,5.74,3.45,0.996166417,,
110.100,46.53,6.79,4.15,34.50,3.98,1.82,31.21,5.50,3.73,1.003399419,,
112.100,47.19,6.78,4.18,34.88,4.01,1.86,31.78,5.47,3.74,1.006037847,,
114.100,47.11,6.83,4.10,34.91,4.08,1.84,31.63,5.48,3.67,0.998775230,,
116.100,47.12,6.86,4.06,34.97,4.12,1.83,31.58,5.48,3.63,0.994111035,,
118.100,47.13,6.88,4.04,35.03,4.17,1.82,31.53,5.48,3.61,0.990102630,,
120.100,47.14,6.91,4.01,35.07,4.21,1.82,31.49,5.48,3.58,0.986907746,,
122.100,47.15,6.94,3.97,35.12,4.24,1.80,31.46,5.49,3.54,0.983675452,,
124.100,47.14,6.97,3.93,35.14,4.28,1.79,31.42,5.50,3.50,0.981044609,,
126.100,47.14,6.99,3.89,35.17,4.31,1.77,31.39,5.51,3.47,0.978520171,,
128.100,47.15,7.02,3.85,35.20,4.34,1.75,31.37,5.51,3.43,0.976172603,,
130.100,47.17,7.05,3.82,35.24,4.38,1.74,31.35,5.52,3.40,0.973716027,,
132.100,47.18,7.07,3.79,35.27,4.41,1.73,31.34,5.53,3.37,0.971744590,,
134.100,47.20,7.10,3.76,35.30,4.44,1.72,31.33,5.54,3.34,0.969946937,,
136.100,47.22,7.13,3.74,35.34,4.47,1.71,31.32,5.55,3.33,0.968137373,,
138.100,47.24,7.16,3.73,35.37,4.51,1.70,31.31,5.57,3.31,0.966664261,,
140.100,47.26,7.19,3.72,35.41,4.54,1.70,31.30,5.58,3.31,0.965060993,,
142.100,47.28,7.23,3.71,35.44,4.57,1.69,31.30,5.59,3.30,0.963934583,,
144.100,47.30,7.26,3.70,35.46,4.61,1.68,31.30,5.61,3.30,0.963064984,,
146.100,47.32,7.29,3.70,35.50,4.64,1.68,31.29,5.62,3.30,0.961595485,,
148.100,47.34,7.32,3.71,35.53,4.67,1.68,31.29,5.64,3.31,0.960766990,,
150.100,47.36,7.35,3.72,35.56,4.71,1.67,31.28,5.65,3.32,0.959798755,,
152.100,76.68,11.91,3.52,41.57,11.77,2.81,64.43,1.78,2.12,1.216915104,,
154.100,62.84,7.54,2.52,54.14,7.24,2.04,31.91,2.11,1.48,0.559699139,,
156.100,,,,,,,,,,,,
158.100,,,,,,,,,,,,
160.100,,,,,,,,,,,,
162.100,89.03,21.43,41.05,74.98,18.92,39.89,48.00,10.07,9.68,0.506390612,,
164.100,91.89,21.86,42.11,81.64,19.92,41.28,42.18,9.00,8.30,0.416402968,,
166.100,92.23,22.12,42.70,82.24,20.41,42.00,41.73,8.53,7.70,0.400746630,,
168.100,92.38,22.31,43.10,82.42,20.74,42.49,41.73,8.21,7.20,0.392365259,,
170.100,92.67,22.39,43.27,82.76,20.86,42.67,41.70,8.12,7.18,0.389650694,,
172.100,93.05,22.48,43.36,83.23,21.00,42.76,41.60,8.02,7.19,0.386536499,,
174.100,93.31,22.61,43.46,83.54,21.15,42.88,41.56,7.99,7.13,0.384082131,,
176.100,93.64,22.72,43.56,83.97,21.29,42.98,41.43,7.94,7.08,0.380808149,,
178.100,93.84,22.74,43.60,84.21,21.32,43.02,41.42,7.90,7.08,0.379690340,,
180.100,94.00,22.78,43.66,84.39,21.38,43.09,41.42,7.85,7.02,0.378160688,,
182.100,94.22,22.87,43.70,84.66,21.49,43.14,41.35,7.82,6.99,0.376173890,,
184.100,94.41,22.89,43.75,84.90,21.51,43.18,41.30,7.81,7.02,0.375225617,,
186.100,94.51,22.92,43.83,85.00,21.56,43.28,41.32,7.78,6.96,0.374132408,,
188.100,94.67,22.97,43.84,85.20,21.63,43.28,41.28,7.74,7.00,0.373219639,,
190.100,94.84,23.01,43.93,85.41,21.67,43.38,41.24,7.74,6.96,0.371786521,,
192.100,94.95,23.06,44.06,85.53,21.73,43.51,41.23,7.74,6.97,0.371015454,,
194.100,95.01,23.10,44.17,85.58,21.77,43.61,41.26,7.72,7.03,0.371025437,,
